"filename", "language", "CSS", "JavaScript", "Properties", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\desktop\sites\framer\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\desktop\sites\framer\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"d:\desktop\sites\framer\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"d:\desktop\sites\framer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\desktop\sites\framer\package-lock.json", "JSON", 0, 0, 0, 0, 0, 5212, 0, 0, 1, 5213
"d:\desktop\sites\framer\package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\desktop\sites\framer\public\Icon.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\desktop\sites\framer\src\App.jsx", "JavaScript", 0, 1039, 0, 0, 0, 0, 0, 24, 47, 1110
"d:\desktop\sites\framer\src\assets\Icon.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\desktop\sites\framer\src\assets\MessageBird.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\aiaiaiai.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\arrow.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\desktop\sites\framer\src\assets\back_arrow.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\desktop\sites\framer\src\assets\canvas_svg.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\desktop\sites\framer\src\assets\cursor.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\desktop\sites\framer\src\assets\hodinkee.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\input_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\desktop\sites\framer\src\assets\lottiefiles.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\mr_marvis.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\pattern.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"d:\desktop\sites\framer\src\assets\play.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\desktop\sites\framer\src\assets\rarify.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\desktop\sites\framer\src\assets\star.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\desktop\sites\framer\src\assets\stars.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\desktop\sites\framer\src\assets\sun.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\desktop\sites\framer\src\assets\superhuman.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\assets\zapier.svg", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\desktop\sites\framer\src\components\Header.jsx", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\desktop\sites\framer\src\components\LoginFrame.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\desktop\sites\framer\src\components\Navbar.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\desktop\sites\framer\src\fonts\inter\inter.css", "CSS", 140, 0, 0, 0, 0, 0, 0, 6, 3, 149
"d:\desktop\sites\framer\src\index.css", "CSS", 160, 0, 0, 0, 0, 0, 0, 9, 22, 191
"d:\desktop\sites\framer\src\main.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\desktop\sites\framer\vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 300, 1137, 1, 276, 5, 5244, 13, 40, 109, 7125